,n_sig_exp,m_exp,sL_exp,sR_exp,aL_exp,aR_exp,y0_exp,dy_exp,n_sig_exp_err,m_exp_err,sL_exp_err,sR_exp_err,aL_exp_err,aR_exp_err,y0_exp_err,dy_exp_err,n_sig_mc,m_mc,sL_mc,sR_mc,aL_mc,aR_mc,n_sig_mc_err,m_mc_err,sL_mc_err,sR_mc_err,aL_mc_err,aR_mc_err,emeas,n_bkg_exp,n_bkg_exp_err
850.0,67.72664745430589,0.7893356083073266,2.5026130684603625,1.9662278350609168,0.07107833192102564,0.2031483816905133,0.0,0.6757783495848615,11.077030061946576,0.763058461994421,0.5383293751756877,0.8577010798804281,0.014584830338863,0.02421174611366589,0.043459456394582485,0.2867326633288332,2533.0119471573253,0.443467943063208,2.3528894794065542,2.396749133571092,0.078401311982082,0.1873257010484103,50.32914696487455,0.24172490703079186,0.1547191901437197,0.23471910927826367,0.0036614900305281806,0.007911340321051508,850.2210083007812,20.273350487545844,8.797372450219674
862.5,27.477356841929954,-1.667207140780751,2.0314081110264732,1.7214731108268286,0.07670143412133125,0.2516465632180844,3.197442310920451e-14,0.5509434698811706,9.347368241999067,0.7124364460079118,0.6478401633551754,0.8799767277791031,0.011689571463066088,0.023664489128601307,0.09786995577327118,0.2877245024932734,1866.9766059742572,0.5198903172196543,2.3553625643747957,2.1842477674141305,0.08433863779356288,0.23992507662453033,43.20825516535365,0.23262016492572224,0.1619772266741628,0.23138732829366093,0.004030534250027973,0.0099533691320694,861.5079956054688,16.528304096437036,9.57852813531459
875.0,29.50109690556179,-0.6382228395576108,2.2821517276935936,1.5033152675933654,0.0649378895050119,0.2655980372758332,4.440892098500626e-16,0.6166310131825898,8.748829720964217,1.2513575100295609,0.4586451492287944,0.9728495029830171,0.01452167742019804,0.04019540459106424,0.0899754590423204,0.2675094813842278,1281.083063453097,0.47597197204554487,2.4463388526326204,1.8929732110031972,0.0751965172427077,0.27276256490924633,35.793381265420976,0.25965091702715926,0.1848182436782686,0.26233353524898395,0.005129320876489929,0.013087748712137526,874.8749389648438,18.49893039547772,8.886913985247633
887.5,10.876285150182674,-1.027555245995745,1.9863918282645658,1.0882152085370105,0.06141180123368993,0.357628346628637,0.0,0.20412404918915583,4.816023739529789,0.7278632630289552,0.9184517742017163,1.3490052988357255,0.02237064024725032,0.05483662524625335,0.04874650406134495,0.1410451063094137,772.9874247508943,0.5055260460187139,2.5038969427037348,1.7802744008776865,0.07174526983412699,0.3532318511245536,27.80242258163281,0.4012131261120855,0.25875255721958457,0.40990405916566464,0.006974760501257393,0.024854614863749902,887.510009765625,6.1237214756746745,4.709729163892052
900.0,4.893226373787081,4.440797491461119,2.0507323017913204,2.2430874882577925,0.07249246188846734,0.29216768269474186,0.02506975177543902,0.1867476297312034,4.122665443317823,1.7433046773609524,1.246093124436226,0.8391906530910987,0.021461736550821495,0.06187736039106542,0.16835913542519898,0.3318579940830654,542.0012702775138,0.7992724412868677,2.683287930127359,2.1415418328807387,0.07643314836634774,0.3400213626591492,23.280957113158706,0.49876601756589256,0.31627781900100094,0.5203357205404219,0.007923367573368645,0.02949742183398857,900.5029296875,7.106613998462443,12.253056462743046
912.5,7.4718705540145685,1.8188784383310015,2.6279072998588524,1.4387716859286235,0.06664741718829162,0.2922513345701815,0.018430199673749925,0.28074395567209587,4.70088673245155,1.9491743583721708,0.8370820051629351,0.5173935385397588,0.027344527732508016,0.13100973525535825,0.1428958468888114,0.30005749426646255,421.9951980512372,0.8641833661720586,2.7283514794197976,1.4826920565347477,0.06666223789683956,0.3596904976622517,20.542400290631974,0.48941336847267225,0.33699587651856144,0.4606317054418366,0.009662205240713595,0.03371958154603533,913.375244140625,9.528130650587872,10.852909811817684
925.0,8.76781797111466,-0.2316974438832906,2.2242333452775442,1.910540290760975,0.0804710295483522,0.18200421224718932,0.012237434598258323,0.1165876749707615,5.81091046814533,1.5079141139701768,0.7699121825031576,1.0232995194013208,0.015755022237229625,0.035385866359382775,0.0992031429737057,0.25138439689979675,458.9923155408245,0.08022599726272173,2.0916505581026055,2.2233774068991643,0.07815390682355261,0.21301268972479637,21.423925100595056,0.3608638185985362,0.248801331977212,0.39538013843550524,0.007522924096902139,0.016797143307194784,925.6129760742188,4.231876325018344,8.636491066443464
936.0,23.007510738009962,1.982347078625021,2.7646354930944415,1.5134234107216378,0.07771109700875142,0.186394340649432,2.234212814755665e-12,0.2664163903876069,7.711386723313965,0.8506881860457209,0.9997572693903652,0.9131666988958547,0.02104008899641248,0.027025585394420737,0.13315004565301958,0.2166491182288287,454.9853466935742,0.770167570488713,2.5230616783324784,1.610629795343105,0.08229647035890353,0.18842645429297755,21.330036713449715,0.4432893166509988,0.2984672900123926,0.3265147619851225,0.007133848827569067,0.013201987024571427,936.2484130859375,7.992491711762259,8.611343610013378
945.0,25.387638024355244,0.055629378727777734,3.203005947605656,1.918495219467264,0.06310773724127086,0.18925146961753347,0.12046882324090191,0.07947411142848093,7.470217032332936,1.3413186772466275,0.9432000931109799,0.9159172310338738,0.028286418812876968,0.03457275942765213,0.07862798512636504,0.20744100070409832,548.0217247641284,1.1103687957609782,2.9233225018575397,1.6790606382120146,0.07733846050996585,0.1660859648479146,23.41032981713289,0.3328257406821846,0.2703699251341125,0.2656791457334041,0.007115361634347506,0.011582752384809436,944.8308715820312,9.612352737308543,7.060937613154739
950.0,25.62467996192806,2.132231576644533,3.979691272100399,2.5188472940579323,0.0641411345089246,0.19357207137033317,0.03958899544321337,0.0,5.486297429121766,1.2825344814759667,1.2046812185312217,1.004383580835522,0.02856902201986756,0.04647412917899872,0.04315666841533772,0.49712098599115084,574.9908103661597,1.290090592926446,3.3291908123933234,1.9062847721999807,0.07544116700084258,0.16850352709025462,23.978769780952177,0.42066657404190533,0.32525022985354,0.3062812609289761,0.007644887897928221,0.012534272140039271,950.138916015625,2.3753397265928022,15.025606267076652
951.1,22.069056744557034,2.39207843108007,2.9168952001512665,1.3217881518986425,0.09271006477052682,0.14823122024997842,0.13696700520405614,0.1570976803504247,6.577144266167356,0.62517566082564,0.9480251047664832,0.8298690575638691,0.013792873453397449,0.024138268631802948,0.11988599654350063,0.2286863467775978,563.0113363525876,0.4005437380425194,2.4403811995353646,1.873907568790555,0.08783207994987163,0.17127419277863043,23.72809409146373,0.3269757518682499,0.2382570003079565,0.2760597084459563,0.006194309363627137,0.011521486264352843,951.0210571289062,12.930950722756108,8.540402483679923
955.0,11.04656059059464,-0.204520892047106,2.842578179874345,2.5836536280659774,0.073993017261397,0.1499739552860002,0.03255666332116025,0.0,3.647250203146857,1.719385160802253,0.8592392426057118,1.0043819223603971,0.023327421723590987,0.028167963919114247,0.033952787939171,0.08438771795678468,634.0045410368756,0.3917544746463406,2.4038746446201547,2.2121241738178377,0.08578407643953401,0.1547530391633084,25.179532977884378,0.307298662009297,0.21935176762710196,0.2837629766533102,0.00589552959076034,0.01136888581189932,956.0421142578125,1.953399799269615,2.9127621776716723
962.5,27.141129989705625,0.12547813816436015,2.5038192503858254,2.5792501022594014,0.09172605054190044,0.13650782554812513,0.0,0.19529538121555268,9.302104384207182,1.2106530214632272,0.8628961216992024,0.8000197280134871,0.012874738779106984,0.02781219560481263,0.0817842130376204,0.25399739320057413,723.0175872289271,-0.49178991368587877,2.0723334726873843,2.7234945893626334,0.0917746353018567,0.13779419599991405,26.88931038413176,0.33221870162652545,0.2157428888492292,0.3088117271868016,0.005467297502301238,0.011040981070034872,962.8311767578125,5.85886143646658,8.372740989744491
975.0,51.598312095002306,1.2909177056589805,2.8369012259925643,2.4331805813224907,0.1097031376560888,0.09093004941862505,0.002301438536260969,0.7087843991405685,10.892679318818566,1.0317434499583458,0.796321362083577,0.7377780669176095,0.019363766026475493,0.034074154143657345,0.6477095173904367,0.3393337808572041,823.0322907426009,0.3060647014669682,2.7230578818035127,2.793057851156345,0.09859238807251258,0.11289138239565788,28.689099788837893,0.363002239422725,0.24994329223095857,0.3249065986529194,0.005555374791788303,0.011808884919440599,972.9435424804688,21.40161828639271,29.304989121315757
978.0,5.706791433369673,0.5303990049176441,3.2137713300679893,2.174586069337156,0.09605966252565766,0.10047101065854631,0.03821923334820121,4.218847493575595e-15,2.989783244009782,1.4998669370018383,0.7339187907106552,0.980052159562584,0.019005013267748706,0.03675400614616294,0.039012892039331004,0.6324811791204397,927.9642050386758,0.5116342553921491,2.7825976640757597,2.5612123308433463,0.08567003768614578,0.12090726936372698,30.46191540247213,0.30941405681332945,0.21558683299701276,0.27281935401382484,0.005194812419755945,0.010218129352722038,976.2123413085938,2.293154000892199,19.04649070272301
987.5,41.12104485877893,1.6297907390013862,2.9609464069204607,1.7572508024471731,0.0843716854830349,0.15354505570623064,1.2678746941219288e-13,0.06264511830629305,7.89373708489536,1.0079360156706807,0.585409583284922,0.4429366894091934,0.015790365368482447,0.028282542091742927,0.027050836713133686,0.14743731394195703,1151.9980172871428,1.030120039682492,2.932991472919957,1.8995398222743556,0.09344349491733739,0.13741191102836448,33.94106572186888,0.23959339087858034,0.19215939049437103,0.19831670720121797,0.004535904740450847,0.00806657238037134,987.7733764648438,1.8793535491963986,4.569587658483246
